Date,Arizona,California,Florida,Illinois,Michigan,New York,Texas,Colorado
2003-07-01,-0.24526603608348735,-0.16239220446546693,-0.31136619162177703,0.09040574889700173,0.0028369961560604628,0.26259548059329996,0.9340644153437905,0.37338765394167756
2003-08-01,-0.24526603608348735,-0.16239220446546693,-0.31136619162177703,0.09040574889700173,0.0028369961560604628,0.26259548059329996,0.8565248635704393,0.37338765394167756
2003-09-01,-0.29418336183975063,-0.20308445059602503,-0.394551222407558,0.03941973907519412,-0.07376190005757544,0.26259548059329996,0.7789853117970889,0.37338765394167756
2003-10-01,-0.34310068759601436,-0.24377669672658275,-0.4361437378004483,-0.011566270746613953,-0.11206134816439321,0.1965644866373597,0.6239062082503872,0.3195480456296601
2003-11-01,-0.39201801335227765,-0.28446894285714086,-0.4777362531933386,-0.11353829039022964,-0.1886602443780291,0.1965644866373597,0.5463666564770366,0.3195480456296601
2003-12-01,-0.440935339108541,-0.28446894285714086,-0.5193287685862293,-0.16452430021203726,-0.22695969248484688,0.1965644866373597,0.4688271047036855,0.2657084373176422
2004-01-01,-0.4898526648648047,-0.3251611889876986,-0.5193287685862293,-0.21551031003384485,-0.265259140591665,0.1965644866373597,0.391287552930335,0.2657084373176422
2004-02-01,-0.4898526648648047,-0.3251611889876986,-0.5609212839791196,-0.21551031003384485,-0.265259140591665,0.13053349268141887,0.391287552930335,0.21186882900562473
2004-03-01,-0.4898526648648047,-0.3251611889876986,-0.5609212839791196,-0.2664963198556529,-0.22695969248484688,0.13053349268141887,0.3137480011569838,0.21186882900562473
2004-04-01,-0.538769990621068,-0.36585343511825635,-0.5609212839791196,-0.2664963198556529,-0.22695969248484688,-0.0015284952304622152,0.3137480011569838,0.15802922069360684
2004-05-01,-0.538769990621068,-0.36585343511825635,-0.5609212839791196,-0.31748232967746054,-0.1886602443780291,-0.06755948918640246,0.23620844938363333,0.10418961238158939
2004-06-01,-0.5876873163773317,-0.4065456812488144,-0.5609212839791196,-0.31748232967746054,-0.1886602443780291,-0.13359048314234273,0.15866889761028283,0.05035000406957194
2004-07-01,-0.636604642133595,-0.4472379273793722,-0.6025137993720102,-0.3684683394992686,-0.1886602443780291,-0.2656524710542238,0.08112934583693165,0.05035000406957194
